index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
41,HISPANIC ORIGIN,259,94,45,41,HISPANIC ORIGIN,331,163,129,41,BLACK,107,46,30,41,HISPANIC ORIGIN,478,199,158,41,HISPANIC ORIGIN,570,184,118,41,HISPANIC ORIGIN,574,204,165,41,HISPANIC ORIGIN,563,228,158,41,HISPANIC ORIGIN,590,225,195,41,HISPANIC ORIGIN,629,214,144,41,HISPANIC ORIGIN,681,284,259,41,HISPANIC ORIGIN,701,321,218,41,HISPANIC ORIGIN,633,272,237,41,HISPANIC ORIGIN,806,323,259,41,HISPANIC ORIGIN,854,374,315
42,CONNECTICUT TOTAL,2431,1679,1263,42,CONNECTICUT TOTAL,2409,1685,1409,42,CONNECTICUT TOTAL,2438,1625,1106,42,CONNECTICUT TOTAL,2415,1510,1332,42,CONNECTICUT TOTAL,2574,1679,1134,42,CONNECTICUT TOTAL,2606,1695,1524,42,CONNECTICUT TOTAL,2640,1650,1220,42,CONNECTICUT TOTAL,2651,1761,1610,42,CONNECTICUT TOTAL,2648,1641,1215,42,CONNECTICUT TOTAL,2726,1760,1568,42,CONNECTICUT TOTAL,2783,1668,1195,42,CONNECTICUT TOTAL,2759,1763,1586,42,CONNECTICUT TOTAL,2834,1726,1370,42,CONNECTICUT TOTAL,2777,1850,1681
43,MALE,1144,753,597,43,MALE,1132,771,648,43,MALE,1176,764,552,43,MALE,1146,682,605,43,MALE,1195,757,514,43,MALE,1246,775,704,43,MALE,1257,759,572,43,MALE,1270,830,760,43,MALE,1274,767,577,43,MALE,1297,811,712,43,MALE,1333,765,588,43,MALE,1321,798,718,43,MALE,1365,804,662,43,MALE,1333,843,767
44,FEMALE,1287,925,665,44,FEMALE,1276,913,761,44,FEMALE,1262,861,554,44,FEMALE,1268,828,727,44,FEMALE,1379,922,620,44,FEMALE,1359,919,820,44,FEMALE,1383,891,648,44,FEMALE,1381,931,851,44,FEMALE,1374,874,638,44,FEMALE,1429,949,856,44,FEMALE,1450,903,607,44,FEMALE,1438,965,868,44,FEMALE,1469,921,708,44,FEMALE,1444,1008,915
45,WHITE,2219,1572,1191,45,WHITE,2092,1544,1311,45,HISPANIC ORIGIN,229,103,49,45,WHITE,2020,1331,1178,45,WHITE,2215,1508,1041,45,WHITE,2278,1519,1369,45,WHITE,2297,1484,1117,45,WHITE,2233,1583,1455,45,WHITE,2273,1473,1096,45,WHITE,2238,1520,1352,45,WHITE,2344,1475,1065,45,WHITE,2258,1538,1378,45,WHITE,2326,1483,1193,45,WHITE,2197,1543,1392
46,BLACK,167,94,59,46,BLACK,272,126,89,46,WHITE,2194,1503,1034,46,BLACK,317,161,135,46,BLACK,267,147,84,46,BLACK,233,135,117,46,BLACK,243,128,81,46,BLACK,251,133,121,46,BLACK,247,132,93,46,BLACK,279,164,159,46,BLACK,291,121,83,46,BLACK,297,157,142,46,BLACK,319,158,124,46,BLACK,323,192,184
47,HISPANIC ORIGIN,162,78,44,47,HISPANIC ORIGIN,146,71,49,47,BLACK,208,112,62,47,HISPANIC ORIGIN,139,64,61,47,HISPANIC ORIGIN,213,98,50,47,HISPANIC ORIGIN,170,64,56,47,HISPANIC ORIGIN,258,90,49,47,HISPANIC ORIGIN,253,104,89,47,HISPANIC ORIGIN,243,111,56,47,HISPANIC ORIGIN,292,127,103,47,HISPANIC ORIGIN,319,116,68,47,HISPANIC ORIGIN,417,151,131,47,HISPANIC ORIGIN,464,164,120,47,HISPANIC ORIGIN,461,235,196
48,DELAWARE TOTAL,528,311,218,48,DELAWARE TOTAL,536,343,293,48,DELAWARE TOTAL,555,339,203,48,DELAWARE TOTAL,567,385,352,48,DELAWARE TOTAL,590,385,253,48,DELAWARE TOTAL,612,415,385,48,DELAWARE TOTAL,647,408,275,48,DELAWARE TOTAL,648,447,408,48,DELAWARE TOTAL,667,418,323,48,DELAWARE TOTAL,693,470,431,48,DELAWARE TOTAL,712,442,299,48,DELAWARE TOTAL,729,487,417,48,DELAWARE TOTAL,756,472,369,48,DELAWARE TOTAL,766,542,489
49,MALE,251,148,104,49,MALE,256,159,133,49,MALE,274,160,99,49,MALE,267,173,155,49,MALE,272,169,109,49,MALE,292,189,174,49,MALE,308,190,124,49,MALE,308,204,184,49,MALE,318,190,147,49,MALE,329,218,196,49,MALE,337,206,139,49,MALE,342,216,183,49,MALE,359,215,167,49,MALE,361,247,223
50,FEMALE,276,163,114,50,FEMALE,280,184,160,50,FEMALE,281,179,104,50,FEMALE,299,211,197,50,FEMALE,318,216,144,50,FEMALE,320,225,211,50,FEMALE,339,218,152,50,FEMALE,339,243,224,50,FEMALE,349,228,177,50,FEMALE,363,252,235,50,FEMALE,375,236,160,50,FEMALE,387,271,234,50,FEMALE,397,258,202,50,FEMALE,404,296,266
51,WHITE,422,257,189,51,WHITE,410,273,239,51,HISPANIC ORIGIN,13,4,3,51,WHITE,443,313,284,51,WHITE,456,318,211,51,WHITE,485,344,322,51,WHITE,496,322,220,51,WHITE,493,355,324,51,WHITE,513,330,252,51,WHITE,521,365,336,51,WHITE,510,336,229,51,WHITE,527,372,319,51,WHITE,540,340,264,51,WHITE,540,392,348
52,BLACK,91,46,24,52,BLACK,110,64,50,52,WHITE,435,278,171,52,BLACK,111,68,64,52,BLACK,109,61,39,52,BLACK,108,63,57,52,BLACK,125,74,47,52,BLACK,125,83,78,52,BLACK,134,79,64,52,BLACK,142,91,86,52,BLACK,147,91,59,52,BLACK,148,96,82,52,BLACK,163,109,90,52,BLACK,172,114,106
53,HISPANIC ORIGIN,16,4,3,53,HISPANIC ORIGIN,19,11,6,53,BLACK,108,55,28,53,HISPANIC ORIGIN,20,8,8,53,HISPANIC ORIGIN,26,9,5,53,HISPANIC ORIGIN,44,13,12,53,HISPANIC ORIGIN,43,8,4,53,HISPANIC ORIGIN,38,9,7,53,HISPANIC ORIGIN,40,9,6,53,HISPANIC ORIGIN,56,11,10,53,HISPANIC ORIGIN,56,14,5,53,HISPANIC ORIGIN,66,19,14,53,HISPANIC ORIGIN,73,27,20,53,HISPANIC ORIGIN,57,22,20
54,DISTRICT OF COLUMBIA TOTAL,440,298,247,54,DISTRICT OF COLUMBIA TOTAL,402,293,239,54,DISTRICT OF COLUMBIA TOTAL,392,256,178,54,DISTRICT OF COLUMBIA TOTAL,407,295,267,54,DISTRICT OF COLUMBIA TOTAL,435,295,207,54,DISTRICT OF COLUMBIA TOTAL,435,293,270,54,DISTRICT_OF_COLUMBIA TOTAL,419,275,187,54,DISTRICT_OF_COLUMBIA TOTAL,469,324,306,54,DISTRICT OF COLUMBIA TOTAL,489,295,200,54,DISTRICT OF COLUMBIA TOTAL,517,385,350,54,DISTRICT OF COLUMBIA TOTAL,538,353,247,54,DISTRICT OF COLUMBIA TOTAL,553,420,380,54,DISTRICT OF COLUMBIA TOTAL,567,397,313,54,DISTRICT OF COLUMBIA TOTAL,576,464,448
55,MALE,204,131,106,55,MALE,190,130,106,55,MALE,173,107,73,55,MALE,191,130,114,55,MALE,193,120,82,55,MALE,199,130,118,55,MALE,193,118,79,55,MALE,216,140,132,55,MALE,223,127,84,55,MALE,240,173,154,55,MALE,249,165,118,55,MALE,255,190,168,55,MALE,264,179,141,55,MALE,264,209,200
56,FEMALE,236,167,141,56,FEMALE,212,164,134,56,FEMALE,220,148,106,56,FEMALE,216,165,153,56,FEMALE,242,175,125,56,FEMALE,236,164,152,56,FEMALE,226,157,108,56,FEMALE,254,183,174,56,FEMALE,266,168,116,56,FEMALE,277,212,196,56,FEMALE,289,188,129,56,FEMALE,299,229,212,56,FEMALE,304,218,172,56,FEMALE,312,255,248
57,WHITE,159,101,85,57,WHITE,121,91,82,57,HISPANIC ORIGIN,17,6,4,57,WHITE,140,102,92,57,WHITE,170,112,76,57,WHITE,179,122,116,57,WHITE,175,116,81,57,WHITE,203,139,130,57,WHITE,220,134,86,57,WHITE,246,180,161,57,WHITE,251,176,123,57,WHITE,264,209,194,57,WHITE,270,207,168,57,WHITE,278,229,223
58,BLACK,266,194,160,58,BLACK,273,199,155,58,WHITE,132,78,54,58,BLACK,258,190,172,58,BLACK,253,179,130,58,BLACK,240,163,146,58,BLACK,217,148,98,58,BLACK,242,173,165,58,BLACK,244,146,103,58,BLACK,244,191,177,58,BLACK,248,164,114,58,BLACK,250,184,162,58,BLACK,251,163,123,58,BLACK,251,202,193
59,HISPANIC ORIGIN,33,8,5,59,HISPANIC ORIGIN,17,8,7,59,BLACK,248,175,123,59,HISPANIC ORIGIN,26,7,6,59,HISPANIC ORIGIN,40,8,4,59,HISPANIC ORIGIN,38,10,9,59,HISPANIC ORIGIN,36,7,4,59,HISPANIC ORIGIN,50,11,11,59,HISPANIC ORIGIN,45,12,8,59,HISPANIC ORIGIN,48,14,13,59,HISPANIC ORIGIN,53,19,13,59,HISPANIC ORIGIN,42,20,18,59,HISPANIC ORIGIN,53,24,20,59,HISPANIC ORIGIN,50,26,26
60,FLORIDA TOTAL,10582,6002,4601,60,FLORIDA TOTAL,10886,6727,5516,60,FLORIDA TOTAL,11275,6653,4403,60,FLORIDA TOTAL,11633,7043,6006,60,FLORIDA TOTAL,12539,7290,5334,60,FLORIDA TOTAL,13133,8219,7372,60,FLORIDA TOTAL,13929,7855,5343,60,FLORIDA TOTAL,14069,8774,7951,60,FLORIDA TOTAL,14227,7994,5572,60,FLORIDA TOTAL,15034,9102,8107,60,FLORIDA TOTAL,15414,8691,6220,60,FLORIDA TOTAL,16202,9604,8578,60,FLORIDA TOTAL,16845,9435,7918,60,FLORIDA TOTAL,17244,10495,9720
61,MALE,4961,2759,2168,61,MALE,5102,3061,2530,61,MALE,5301,3011,1994,61,MALE,5533,3228,2740,61,MALE,5937,3342,2442,61,MALE,6266,3784,3375,61,MALE,6717,3621,2538,61,MALE,6774,4049,3677,61,MALE,6872,3735,2623,61,MALE,7179,4234,3727,61,MALE,7335,4008,2840,61,MALE,7736,4377,3920,61,MALE,8035,4383,3648,61,MALE,8263,4965,4563
62,FEMALE,5621,3243,2432,62,FEMALE,5785,3666,2985,62,FEMALE,5974,3641,2409,62,FEMALE,6100,3816,3266,62,FEMALE,6602,3948,2891,62,FEMALE,6867,4434,3997,62,FEMALE,7212,4235,2805,62,FEMALE,7294,4725,4274,62,FEMALE,7355,4259,2949,62,FEMALE,7855,4869,4379,62,FEMALE,8079,4683,3380,62,FEMALE,8466,5226,4658,62,FEMALE,8810,5052,4270,62,FEMALE,8982,5530,5157
63,WHITE,8997,5298,4160,63,WHITE,9300,5927,4901,63,HISPANIC ORIGIN,1917,687,439,63,WHITE,9886,6176,5320,63,WHITE,10433,6334,4672,63,WHITE,10871,7030,6349,63,WHITE,11556,6709,4592,63,WHITE,11674,7533,6806,63,WHITE,11665,6731,4740,63,WHITE,12054,7515,6712,63,WHITE,12507,7010,5071,63,WHITE,13097,8141,7277,63,WHITE,13425,7798,6579,63,WHITE,13675,8468,7887
64,BLACK,1327,633,398,64,BLACK,1422,754,575,64,WHITE,9568,5843,3882,64,BLACK,1467,773,620,64,BLACK,1767,846,583,64,BLACK,1832,965,815,64,BLACK,1915,963,642,64,BLACK,1968,1069,985,64,BLACK,2046,1073,725,64,BLACK,2244,1262,1104,64,BLACK,2331,1358,929,64,BLACK,2434,1149,1051,64,BLACK,2644,1340,1094,64,BLACK,2652,1533,1375
65,HISPANIC ORIGIN,1690,463,340,65,HISPANIC ORIGIN,1759,646,510,65,BLACK,1417,714,473,65,HISPANIC ORIGIN,2162,802,678,65,HISPANIC ORIGIN,2334,914,639,65,HISPANIC ORIGIN,2422,924,824,65,HISPANIC ORIGIN,2862,921,514,65,HISPANIC ORIGIN,2909,1380,1227,65,HISPANIC ORIGIN,2962,1239,863,65,HISPANIC ORIGIN,3349,1622,1399,65,HISPANIC ORIGIN,3530,1493,892,65,HISPANIC ORIGIN,4010,1779,1552,65,HISPANIC ORIGIN,4288,1723,1393,65,HISPANIC ORIGIN,4439,1992,1789
66,GEORGIA TOTAL,5105,2819,1822,66,GEORGIA TOTAL,5303,3506,2632,66,GEORGIA TOTAL,5581,3462,2090,66,GEORGIA TOTAL,5775,3528,2827,66,GEORGIA TOTAL,6080,3737,2431,66,GEORGIA TOTAL,6338,3948,3332,66,GEORGIA TOTAL,6630,3950,2672,66,GEORGIA TOTAL,7018,4624,4183,66,GEORGIA TOTAL,7119,4076,2865,66,GEORGIA TOTAL,7179,4767,4168,66,GEORGIA TOTAL,7306,4306,2919,66,GEORGIA TOTAL,7626,4892,4246,66,GEORGIA TOTAL,7850,4840,4084,66,GEORGIA TOTAL,8032,5233,4888
67,MALE,2416,1264,824,67,MALE,2482,1637,1244,67,MALE,2605,1592,995,67,MALE,2697,1609,1270,67,MALE,2867,1729,1125,67,MALE,3070,1791,1503,67,MALE,3188,1795,1197,67,MALE,3323,2105,1883,67,MALE,3404,1929,1338,67,MALE,3424,2178,1899,67,MALE,3458,1959,1297,67,MALE,3623,2237,1908,67,MALE,3700,2189,1814,67,MALE,3765,2354,2180
68,FEMALE,2689,1555,998,68,FEMALE,2821,1869,1388,68,FEMALE,2977,1869,1095,68,FEMALE,3078,1919,1557,68,FEMALE,3213,2009,1306,68,FEMALE,3268,2157,1829,68,FEMALE,3442,2154,1474,68,FEMALE,3695,2519,2300,68,FEMALE,3715,2147,1527,68,FEMALE,3755,2589,2269,68,FEMALE,3848,2347,1622,68,FEMALE,4003,2655,2338,68,FEMALE,4150,2651,2270,68,FEMALE,4267,2880,2707
69,WHITE,3664,2031,1402,69,WHITE,3629,2460,1897,69,HISPANIC ORIGIN,127,43,32,69,WHITE,3743,2221,1810,69,WHITE,4161,2609,1723,69,WHITE,4390,2788,2351,69,WHITE,4512,2801,1905,69,WHITE,4729,3111,2789,69,WHITE,4734,2717,1881,69,WHITE,4659,3121,2683,69,WHITE,4569,2764,1866,69,WHITE,4798,3179,2786,69,WHITE,4949,3093,2581,69,WHITE,4785,3297,3079
70,BLACK,1345,775,415,70,BLACK,1570,1015,717,70,WHITE,3762,2332,1385,70,BLACK,1956,1296,1010,70,BLACK,1777,1095,683,70,BLACK,1688,1083,919,70,BLACK,1868,1081,722,70,BLACK,2014,1414,1309,70,BLACK,2066,1260,929,70,BLACK,2151,1491,1340,70,BLACK,2199,1339,925,70,BLACK,2325,1552,1346,70,BLACK,2439,1577,1374,70,BLACK,2569,1721,1608
71,HISPANIC ORIGIN,105,20,19,71,HISPANIC ORIGIN,100,22,18,71,BLACK,1744,1118,700,71,HISPANIC ORIGIN,169,26,26,71,HISPANIC ORIGIN,241,56,35,71,HISPANIC ORIGIN,376,36,26,71,HISPANIC ORIGIN,528,57,37,71,HISPANIC ORIGIN,541,150,128,71,HISPANIC ORIGIN,519,77,46,71,HISPANIC ORIGIN,489,140,114,71,HISPANIC ORIGIN,508,99,62,71,HISPANIC ORIGIN,680,168,161,71,HISPANIC ORIGIN,525,135,101,71,HISPANIC ORIGIN,739,192,178
72,HAWAII TOTAL,833,438,391,72,HAWAII TOTAL,839,463,361,72,HAWAII TOTAL,855,463,411,72,HAWAII TOTAL,855,402,340,72,HAWAII TOTAL,873,425,363,72,HAWAII TOTAL,938,497,433,72,HAWAII TOTAL,967,492,388,72,HAWAII TOTAL,977,522,457,72,HAWAII TOTAL,965,466,385,72,HAWAII TOTAL,1013,547,480,72,HAWAII TOTAL,1035,490,399,72,HAWAII TOTAL,1064,530,460,72,HAWAII TOTAL,1057,523,427,72,HAWAII TOTAL,1056,673,630
73,MALE,383,202,185,73,MALE,395,220,168,73,MALE,396,222,202,73,MALE,413,183,154,73,MALE,417,205,174,73,MALE,448,228,196,73,MALE,460,231,178,73,MALE,478,250,223,73,MALE,471,226,182,73,MALE,493,256,225,73,MALE,502,243,197,73,MALE,519,249,215,73,MALE,504,237,193,73,MALE,509,333,313
74,FEMALE,450,237,206,74,FEMALE,444,243,194,74,FEMALE,459,240,210,74,FEMALE,442,219,186,74,FEMALE,456,221,190,74,FEMALE,490,269,237,74,FEMALE,507,261,209,74,FEMALE,499,272,235,74,FEMALE,494,240,203,74,FEMALE,520,292,255,74,FEMALE,533,247,202,74,FEMALE,545,281,245,74,FEMALE,553,287,234,74,FEMALE,546,340,317
75,WHITE,301,175,156,75,WHITE,238,153,111,75,HISPANIC ORIGIN,28,13,13,75,WHITE,216,121,106,75,WHITE,223,127,107,75,WHITE,208,148,130,75,WHITE,232,134,97,75,WHITE,239,149,136,75,WHITE,191,99,84,75,WHITE,238,170,153,75,WHITE,228,117,95,75,WHITE,225,144,129,75,WHITE,237,137,111,75,WHITE,261,184,175
76,BLACK,7,3,1,76,BLACK,15,8,7,76,WHITE,192,117,98,76,BLACK,16,7,2,76,BLACK,11,4,4,76,BLACK,17,7,6,76,BLACK,15,7,3,76,BLACK,18,2,2,76,BLACK,28,10,10,76,BLACK,18,12,12,76,BLACK,19,8,7,76,BLACK,24,16,15,76,BLACK,22,10,4,76,BLACK,18,15,11
77,HISPANIC ORIGIN,14,5,3,77,HISPANIC ORIGIN,18,14,10,77,BLACK,7,6,5,77,HISPANIC ORIGIN,29,13,10,77,HISPANIC ORIGIN,26,7,6,77,HISPANIC ORIGIN,55,23,19,77,HISPANIC ORIGIN,52,25,22,77,HISPANIC ORIGIN,49,17,15,77,HISPANIC ORIGIN,85,39,27,77,HISPANIC ORIGIN,81,33,25,77,HISPANIC ORIGIN,64,31,21,77,HISPANIC ORIGIN,78,43,36,77,HISPANIC ORIGIN,82,34,25,77,HISPANIC ORIGIN,71,35,30
78,IDAHO TOTAL,798,504,405,78,IDAHO TOTAL,835,571,502,78,IDAHO TOTAL,881,528,396,78,IDAHO TOTAL,927,569,500,78,IDAHO TOTAL,950,567,425,78,IDAHO TOTAL,996,663,585,78,IDAHO TOTAL,1064,660,523,78,IDAHO TOTAL,1095,723,644,78,IDAHO TOTAL,1114,666,498,78,IDAHO TOTAL,1129,745,679,78,IDAHO TOTAL,1182,671,462,78,IDAHO TOTAL,1224,790,714,78,IDAHO TOTAL,1299,743,587,78,IDAHO TOTAL,1370,900,843
79,MALE,396,245,198,79,MALE,409,273,241,79,MALE,450,259,189,79,MALE,447,265,232,79,MALE,457,274,202,79,MALE,487,317,273,79,MALE,523,318,249,79,MALE,538,352,313,79,MALE,546,325,235,79,MALE,553,354,323,79,MALE,585,312,213,79,MALE,607,386,346,79,MALE,645,362,286,79,MALE,679,434,410
80,FEMALE,402,259,207,80,FEMALE,426,298,261,80,FEMALE,431,269,207,80,FEMALE,480,304,268,80,FEMALE,493,293,222,80,FEMALE,509,345,311,80,FEMALE,541,342,274,80,FEMALE,556,371,331,80,FEMALE,568,341,263,80,FEMALE,577,390,357,80,FEMALE,597,359,248,80,FEMALE,618,404,368,80,FEMALE,654,381,301,80,FEMALE,691,466,433
81,WHITE,779,495,399,81,WHITE,816,560,493,81,HISPANIC ORIGIN,72,8,7,81,WHITE,896,561,496,81,WHITE,929,560,419,81,WHITE,942,644,571,81,WHITE,1013,643,515,81,WHITE,1045,697,621,81,WHITE,1051,645,483,81,WHITE,1077,726,661,81,WHITE,1110,648,452,81,WHITE,1151,757,687,81,WHITE,1214,708,555,81,WHITE,1279,857,806
82,BLACK,4,1,0,82,BLACK,1,,,82,WHITE,859,521,392,82,BLACK,4,,,82,BLACK,2,2,1,82,BLACK,5,,,82,BLACK,7,,,82,BLACK,11,8,8,82,BLACK,8,4,4,82,BLACK,7,,,82,BLACK,10,1,,82,BLACK,6,3,2,82,BLACK,8,8,6,82,BLACK,10,5,4
83,HISPANIC ORIGIN,32,10,8,83,HISPANIC ORIGIN,53,9,6,83,BLACK,3,1,1,83,HISPANIC ORIGIN,58,10,7,83,HISPANIC ORIGIN,64,14,8,83,HISPANIC ORIGIN,89,19,14,83,HISPANIC ORIGIN,91,16,9,83,HISPANIC ORIGIN,122,37,30,83,HISPANIC ORIGIN,100,17,9,83,HISPANIC ORIGIN,119,35,27,83,HISPANIC ORIGIN,153,23,17,83,HISPANIC ORIGIN,163,55,49,83,HISPANIC ORIGIN,182,51,30,83,HISPANIC ORIGIN,166,63,55
84,ILLINOIS TOTAL,8561,5434,3685,84,ILLINOIS TOTAL,8598,5819,4779,84,ILLINOIS TOTAL,8659,5530,3857,84,ILLINOIS TOTAL,8859,5911,5030,84,ILLINOIS TOTAL,9366,5781,4014,84,ILLINOIS TOTAL,9303,6437,5672,84,ILLINOIS TOTAL,9392,5779,3968,84,ILLINOIS TOTAL,9521,6151,5436,84,ILLINOIS TOTAL,9619,5823,3994,84,ILLINOIS TOTAL,9651,6425,5428,84,ILLINOIS TOTAL,9757,5716,3734,84,ILLINOIS TOTAL,9723,6665,5719,84,ILLINOIS TOTAL,9732,6068,4740,84,ILLINOIS TOTAL,9658,6590,6058
85,MALE,4076,2514,1747,85,MALE,4164,2738,2276,85,MALE,4187,2598,1821,85,MALE,4207,2726,2310,85,MALE,4468,2690,1921,85,MALE,4469,3049,2640,85,MALE,4570,2635,1805,85,MALE,4623,2900,2521,85,MALE,4661,2670,1872,85,MALE,4638,3010,2517,85,MALE,4714,2574,1730,85,MALE,4692,3174,2673,85,MALE,4711,2794,2183,85,MALE,4671,3098,2876
86,FEMALE,4485,2921,1938,86,FEMALE,4435,3082,2503,86,FEMALE,4472,2932,2036,86,FEMALE,4652,3185,2720,86,FEMALE,4898,3091,2092,86,FEMALE,4835,3388,3032,86,FEMALE,4822,3144,2162,86,FEMALE,4897,3252,2914,86,FEMALE,4958,3152,2122,86,FEMALE,5013,3415,2911,86,FEMALE,5042,3142,2004,86,FEMALE,5031,3490,3046,86,FEMALE,5021,3274,2557,86,FEMALE,4987,3492,3182
87,WHITE,6916,4473,3068,87,WHITE,7068,4780,3914,87,HISPANIC ORIGIN,755,229,156,87,WHITE,7174,4810,4043,87,WHITE,7820,4864,3366,87,WHITE,7648,5376,4708,87,WHITE,7585,4800,3262,87,WHITE,7750,5160,4520,87,WHITE,7799,4794,3225,87,WHITE,7673,5150,4275,87,WHITE,7648,4673,3070,87,WHITE,7647,5391,4636,87,WHITE,7564,4892,3802,87,WHITE,7551,5303,4849
88,BLACK,1267,900,581,88,BLACK,1359,972,818,88,WHITE,7130,4623,3162,88,BLACK,1342,998,897,88,BLACK,1167,799,590,88,BLACK,1277,919,855,88,BLACK,1274,822,602,88,BLACK,1298,826,784,88,BLACK,1312,844,658,88,BLACK,1322,987,918,88,BLACK,1348,768,535,88,BLACK,1358,932,776,88,BLACK,1334,861,723,88,BLACK,1335,861,811
89,HISPANIC ORIGIN,685,186,125,89,HISPANIC ORIGIN,597,152,127,89,BLACK,1179,828,650,89,HISPANIC ORIGIN,771,262,218,89,HISPANIC ORIGIN,938,299,171,89,HISPANIC ORIGIN,1031,343,294,89,HISPANIC ORIGIN,1086,316,185,89,HISPANIC ORIGIN,1081,385,314,89,HISPANIC ORIGIN,1220,388,241,89,HISPANIC ORIGIN,1200,415,295,89,HISPANIC ORIGIN,1316,410,218,89,HISPANIC ORIGIN,1490,634,527,89,HISPANIC ORIGIN,1458,537,354,89,HISPANIC ORIGIN,1421,532,475
90,INDIANA TOTAL,4191,2329,1620,90,INDIANA TOTAL,4238,2904,2367,90,INDIANA TOTAL,4377,2702,1751,90,INDIANA TOTAL,4380,3000,2564,90,INDIANA TOTAL,4646,2829,1856,90,INDIANA TOTAL,4536,3031,2598,90,INDIANA TOTAL,4629,2946,2053,90,INDIANA TOTAL,4686,3105,2758,90,INDIANA TOTAL,4777,2838,1826,90,INDIANA TOTAL,4852,3270,2801,90,INDIANA TOTAL,4913,3048,1646,90,INDIANA TOTAL,4988,3298,2795,90,INDIANA TOTAL,5006,3131,2364,90,INDIANA TOTAL,5096,3412,3002
91,MALE,2060,1118,781,91,MALE,2037,1391,1131,91,MALE,2098,1272,811,91,MALE,2157,1424,1217,91,MALE,2227,1329,882,91,MALE,2182,1473,1247,91,MALE,2262,1442,1024,91,MALE,2280,1465,1290,91,MALE,2317,1315,892,91,MALE,2326,1542,1331,91,MALE,2357,1426,795,91,MALE,2426,1595,1343,91,MALE,2404,1522,1115,91,MALE,2463,1632,1408
92,FEMALE,2131,1211,839,92,FEMALE,2201,1513,1236,92,FEMALE,2279,1429,940,92,FEMALE,2223,1576,1347,92,FEMALE,2419,1501,974,92,FEMALE,2354,1558,1351,92,FEMALE,2367,1504,1028,92,FEMALE,2406,1640,1468,92,FEMALE,2459,1523,934,92,FEMALE,2526,1727,1470,92,FEMALE,2556,1622,850,92,FEMALE,2562,1704,1452,92,FEMALE,2602,1609,1249,92,FEMALE,2633,1781,1594
93,WHITE,3828,2198,1532,93,WHITE,3884,2700,2221,93,HISPANIC ORIGIN,83,34,9,93,WHITE,4037,2807,2389,93,WHITE,4264,2634,1716,93,WHITE,4088,2755,2364,93,WHITE,4195,2716,1901,93,WHITE,4264,2851,2516,93,WHITE,4300,2544,1646,93,WHITE,4349,2926,2509,93,WHITE,4365,2788,1498,93,WHITE,4309,2895,2467,93,WHITE,4260,2723,2066,93,WHITE,4318,2967,2601
94,BLACK,306,112,76,94,BLACK,317,185,136,94,WHITE,3983,2500,1605,94,BLACK,286,168,148,94,BLACK,341,184,137,94,BLACK,368,229,198,94,BLACK,378,209,140,94,BLACK,370,228,219,94,BLACK,371,254,158,94,BLACK,385,309,263,94,BLACK,395,226,143,94,BLACK,473,284,228,94,BLACK,484,299,221,94,BLACK,473,306,281
95,HISPANIC ORIGIN,65,25,10,95,HISPANIC ORIGIN,60,38,22,95,BLACK,313,187,138,95,HISPANIC ORIGIN,79,29,21,95,HISPANIC ORIGIN,105,30,14,95,HISPANIC ORIGIN,182,57,41,95,HISPANIC ORIGIN,211,59,24,95,HISPANIC ORIGIN,196,45,36,95,HISPANIC ORIGIN,195,33,19,95,HISPANIC ORIGIN,184,71,49,95,HISPANIC ORIGIN,314,78,35,95,HISPANIC ORIGIN,224,69,63,95,HISPANIC ORIGIN,337,96,77,95,HISPANIC ORIGIN,225,72,60
96,IOWA TOTAL,2059,1475,1080,96,IOWA TOTAL,2113,1543,1291,96,IOWA TOTAL,2102,1562,1084,96,IOWA TOTAL,2110,1524,1353,96,IOWA TOTAL,2152,1495,1053,96,IOWA TOTAL,2212,1674,1522,96,IOWA TOTAL,2252,1663,1180,96,IOWA TOTAL,2244,1630,1501,96,IOWA TOTAL,2278,1547,1143,96,IOWA TOTAL,2320,1745,1548,96,IOWA TOTAL,2336,1584,1203,96,IOWA TOTAL,2394,1657,1454,96,IOWA TOTAL,2376,1658,1335,96,IOWA TOTAL,2361,1742,1618
97,MALE,1015,693,502,97,MALE,1022,730,623,97,MALE,1017,737,510,97,MALE,1049,733,650,97,MALE,1023,685,494,97,MALE,1073,788,708,97,MALE,1104,790,545,97,MALE,1097,765,699,97,MALE,1114,729,544,97,MALE,1135,838,733,97,MALE,1154,755,569,97,MALE,1172,780,673,97,MALE,1176,833,660,97,MALE,1167,853,785
