,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002
0,UNITED STATES TOTAL,210421,128154,88903
1,MALE,100939,59422,41801
2,FEMALE,109481,68732,47102
3,WHITE,174099,109808,76730
4,BLACK,24445,14304,9695
5,HISPANIC ORIGIN,25162,8196,4747
6,ALABAMA TOTAL,3252,2347,1585
7,MALE,1520,1059,755
8,FEMALE,1732,1288,829
9,WHITE,2452,1807,1242
10,BLACK,776,524,336
11,HISPANIC ORIGIN,30,10,
12,ALASKA TOTAL,437,303,230
13,MALE,220,152,111
14,FEMALE,217,151,118
15,WHITE,333,246,190
16,BLACK,13,5,3
17,HISPANIC ORIGIN,20,11,8
18,ARIZONA TOTAL,3800,1930,1397
19,MALE,1937,959,692
20,FEMALE,1863,971,706
21,WHITE,3473,1791,1307
22,BLACK,102,53,41
23,HISPANIC ORIGIN,940,259,155
24,ARKANSAS TOTAL,1960,1222,888
25,MALE,921,551,400
26,FEMALE,1038,671,487
27,WHITE,1629,1025,752
28,BLACK,296,183,130
29,HISPANIC ORIGIN,82,23,15
30,CALIFORNIA TOTAL,24405,12025,8355
31,MALE,11962,5599,3960
32,FEMALE,12443,6427,4396
33,WHITE,19185,9930,7011
34,BLACK,1503,801,549
35,HISPANIC ORIGIN,6964,2017,1206
36,COLORADO TOTAL,3246,1976,1483
37,MALE,1615,948,733
38,FEMALE,1631,1028,749
39,WHITE,2981,1865,1401
40,BLACK,119,70,49
41,HISPANIC ORIGIN,570,184,118
42,CONNECTICUT TOTAL,2574,1679,1134
43,MALE,1195,757,514
44,FEMALE,1379,922,620
45,WHITE,2215,1508,1041
46,BLACK,267,147,84
47,HISPANIC ORIGIN,213,98,50
48,DELAWARE TOTAL,590,385,253
49,MALE,272,169,109
50,FEMALE,318,216,144
51,WHITE,456,318,211
52,BLACK,109,61,39
53,HISPANIC ORIGIN,26,9,5
54,DISTRICT OF COLUMBIA TOTAL,435,295,207
55,MALE,193,120,82
56,FEMALE,242,175,125
57,WHITE,170,112,76
58,BLACK,253,179,130
59,HISPANIC ORIGIN,40,8,4
60,FLORIDA TOTAL,12539,7290,5334
61,MALE,5937,3342,2442
62,FEMALE,6602,3948,2891
63,WHITE,10433,6334,4672
64,BLACK,1767,846,583
65,HISPANIC ORIGIN,2334,914,639
66,GEORGIA TOTAL,6080,3737,2431
67,MALE,2867,1729,1125
68,FEMALE,3213,2009,1306
69,WHITE,4161,2609,1723
70,BLACK,1777,1095,683
71,HISPANIC ORIGIN,241,56,35
72,HAWAII TOTAL,873,425,363
73,MALE,417,205,174
74,FEMALE,456,221,190
75,WHITE,223,127,107
76,BLACK,11,4,4
77,HISPANIC ORIGIN,26,7,6
78,IDAHO TOTAL,950,567,425
79,MALE,457,274,202
80,FEMALE,493,293,222
81,WHITE,929,560,419
82,BLACK,2,2,1
83,HISPANIC ORIGIN,64,14,8
84,ILLINOIS TOTAL,9366,5781,4014
85,MALE,4468,2690,1921
86,FEMALE,4898,3091,2092
87,WHITE,7820,4864,3366
88,BLACK,1167,799,590
89,HISPANIC ORIGIN,938,299,171
90,INDIANA TOTAL,4646,2829,1856
91,MALE,2227,1329,882
92,FEMALE,2419,1501,974
93,WHITE,4264,2634,1716
94,BLACK,341,184,137
95,HISPANIC ORIGIN,105,30,14
96,IOWA TOTAL,2152,1495,1053
97,MALE,1023,685,494
98,FEMALE,1129,810,560
99,WHITE,2061,1452,1028
100,BLACK,44,30,16
101,HISPANIC ORIGIN,81,16,12
102,KANSAS TOTAL,2038,1298,944
103,MALE,993,608,448
104,FEMALE,1045,690,496
105,WHITE,1821,1205,879
106,BLACK,139,62,46
107,HISPANIC ORIGIN,167,45,25
108,KENTUCKY TOTAL,3012,2017,1367
109,MALE,1448,968,693
110,FEMALE,1564,1049,674
111,WHITE,2751,1889,1285
112,BLACK,216,116,76
113,HISPANIC ORIGIN,20,7,5
114,LOUISIANA TOTAL,3092,2276,1527
115,MALE,1397,989,668
116,FEMALE,1695,1287,858
117,WHITE,2118,1571,1080
118,BLACK,924,680,434
119,HISPANIC ORIGIN,135,63,38
120,MAINE TOTAL,1042,831,594
121,MALE,504,391,283
122,FEMALE,538,440,311
123,WHITE,1026,822,589
124,BLACK,7,4,3
125,HISPANIC ORIGIN,5,3,3
126,MARYLAND TOTAL,3922,2377,1826
127,MALE,1805,1043,799
128,FEMALE,2117,1335,1028
129,WHITE,2617,1702,1336
130,BLACK,1045,592,431
131,HISPANIC ORIGIN,198,42,27
132,MASSACHUSETTS TOTAL,4931,3198,2340
133,MALE,2323,1445,1047
134,FEMALE,2608,1752,1293
135,WHITE,4424,2980,2179
136,BLACK,316,176,138
137,HISPANIC ORIGIN,315,74,46
138,MICHIGAN TOTAL,7629,5291,3684
139,MALE,3697,2474,1707
140,FEMALE,3933,2817,1977
141,WHITE,6359,4578,3199
142,BLACK,953,621,428
143,HISPANIC ORIGIN,237,109,56
144,MINNESOTA TOTAL,3823,2888,2450
145,MALE,1872,1371,1181
146,FEMALE,1951,1517,1269
147,WHITE,3580,2795,2371
148,BLACK,118,40,35
149,HISPANIC ORIGIN,106,32,25
150,MISSISSIPPI TOTAL,2014,1400,855
151,MALE,948,619,383
152,FEMALE,1065,781,472
153,WHITE,1350,954,589
154,BLACK,648,440,260
155,HISPANIC ORIGIN,49,8,4
156,MISSOURI TOTAL,4143,2981,2134
157,MALE,1908,1320,931
158,FEMALE,2235,1662,1203
159,WHITE,3611,2605,1895
160,BLACK,455,340,239
161,HISPANIC ORIGIN,58,21,12
162,MONTANA TOTAL,680,468,363
163,MALE,340,229,175
164,FEMALE,340,239,188
165,WHITE,643,448,350
166,BLACK,4,,
167,HISPANIC ORIGIN,12,7,4
168,NEBRASKA TOTAL,1257,838,546
169,MALE,623,393,259
170,FEMALE,635,445,287
171,WHITE,1171,801,529
172,BLACK,50,28,14
173,HISPANIC ORIGIN,95,16,9
174,NEVADA TOTAL,1580,775,585
175,MALE,773,383,287
176,FEMALE,807,392,298
177,WHITE,1362,698,529
178,BLACK,91,44,30
179,HISPANIC ORIGIN,325,65,42
180,NEW HAMPSHIRE TOTAL,991,629,485
181,MALE,477,293,229
182,FEMALE,514,336,256
183,WHITE,947,615,474
184,BLACK,3,1,
185,HISPANIC ORIGIN,13,6,6
186,NEW JERSEY TOTAL,6669,3802,2504
187,MALE,3252,1761,1178
188,FEMALE,3417,2041,1325
189,WHITE,5461,3266,2148
190,BLACK,801,429,287
191,HISPANIC ORIGIN,927,251,157
192,NEW MEXICO TOTAL,1318,727,547
193,MALE,643,351,268
194,FEMALE,675,375,279
195,WHITE,1132,638,480
196,BLACK,38,25,18
