,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996
0,UNITED STATES TOTAL,193651,127661,105017
1,MALE,92632,59672,48909
2,FEMALE,101020,67989,56108
3,WHITE,162779,110259,91208
4,BLACK,22483,14267,11386
5,HISPANIC ORIGIN,18426,6573,4928
6,ALABAMA TOTAL,3139,2318,1744
7,MALE,1459,1031,761
8,FEMALE,1681,1287,983
9,WHITE,2353,1783,1324
10,BLACK,768,532,417
11,HISPANIC ORIGIN,24,8,3
12,ALASKA TOTAL,404,305,240
13,MALE,200,144,113
14,FEMALE,204,161,128
15,WHITE,326,257,203
16,BLACK,11,6,5
17,HISPANIC ORIGIN,9,4,4
18,ARIZONA TOTAL,3149,1844,1489
19,MALE,1474,831,632
20,FEMALE,1676,1012,857
21,WHITE,2868,1735,1407
22,BLACK,113,68,51
23,HISPANIC ORIGIN,711,230,163
24,ARKANSAS TOTAL,1843,1187,949
25,MALE,871,557,447
26,FEMALE,972,630,502
27,WHITE,1507,972,786
28,BLACK,308,203,156
29,HISPANIC ORIGIN,16,2,2
30,CALIFORNIA TOTAL,22871,12827,11079
31,MALE,11179,6062,5218
32,FEMALE,11692,6765,5861
33,WHITE,18490,10892,9445
34,BLACK,1363,904,773
35,HISPANIC ORIGIN,5723,1641,1291
36,COLORADO TOTAL,2859,2001,1682
37,MALE,1453,989,832
38,FEMALE,1406,1012,850
39,WHITE,2692,1915,1621
40,BLACK,85,42,34
41,HISPANIC ORIGIN,331,163,129
42,CONNECTICUT TOTAL,2409,1685,1409
43,MALE,1132,771,648
44,FEMALE,1276,913,761
45,WHITE,2092,1544,1311
46,BLACK,272,126,89
47,HISPANIC ORIGIN,146,71,49
48,DELAWARE TOTAL,536,343,293
49,MALE,256,159,133
50,FEMALE,280,184,160
51,WHITE,410,273,239
52,BLACK,110,64,50
53,HISPANIC ORIGIN,19,11,6
54,DISTRICT OF COLUMBIA TOTAL,402,293,239
55,MALE,190,130,106
56,FEMALE,212,164,134
57,WHITE,121,91,82
58,BLACK,273,199,155
59,HISPANIC ORIGIN,17,8,7
60,FLORIDA TOTAL,10886,6727,5516
61,MALE,5102,3061,2530
62,FEMALE,5785,3666,2985
63,WHITE,9300,5927,4901
64,BLACK,1422,754,575
65,HISPANIC ORIGIN,1759,646,510
66,GEORGIA TOTAL,5303,3506,2632
67,MALE,2482,1637,1244
68,FEMALE,2821,1869,1388
69,WHITE,3629,2460,1897
70,BLACK,1570,1015,717
71,HISPANIC ORIGIN,100,22,18
72,HAWAII TOTAL,839,463,361
73,MALE,395,220,168
74,FEMALE,444,243,194
75,WHITE,238,153,111
76,BLACK,15,8,7
77,HISPANIC ORIGIN,18,14,10
78,IDAHO TOTAL,835,571,502
79,MALE,409,273,241
80,FEMALE,426,298,261
81,WHITE,816,560,493
82,BLACK,1,,
83,HISPANIC ORIGIN,53,9,6
84,ILLINOIS TOTAL,8598,5819,4779
85,MALE,4164,2738,2276
86,FEMALE,4435,3082,2503
87,WHITE,7068,4780,3914
88,BLACK,1359,972,818
89,HISPANIC ORIGIN,597,152,127
90,INDIANA TOTAL,4238,2904,2367
91,MALE,2037,1391,1131
92,FEMALE,2201,1513,1236
93,WHITE,3884,2700,2221
94,BLACK,317,185,136
95,HISPANIC ORIGIN,60,38,22
96,IOWA TOTAL,2113,1543,1291
97,MALE,1022,730,623
98,FEMALE,1091,813,668
99,WHITE,1999,1497,1265
100,BLACK,45,23,20
101,HISPANIC ORIGIN,24,12,6
102,KANSAS TOTAL,1823,1257,1129
103,MALE,863,591,534
104,FEMALE,959,666,596
105,WHITE,1655,1163,1051
106,BLACK,107,63,53
107,HISPANIC ORIGIN,35,9,9
108,KENTUCKY TOTAL,2906,2017,1535
109,MALE,1339,910,686
110,FEMALE,1567,1108,848
111,WHITE,2647,1862,1419
112,BLACK,238,147,107
113,HISPANIC ORIGIN,8,3,3
114,LOUISIANA TOTAL,3098,2275,1915
115,MALE,1436,1041,866
116,FEMALE,1662,1234,1049
117,WHITE,2165,1613,1355
118,BLACK,908,653,553
119,HISPANIC ORIGIN,60,24,13
120,MAINE TOTAL,926,755,626
121,MALE,457,364,305
122,FEMALE,469,391,321
123,WHITE,918,751,623
124,BLACK,1,1,1
125,HISPANIC ORIGIN,2,2,1
126,MARYLAND TOTAL,3766,2481,2048
127,MALE,1821,1183,974
128,FEMALE,1944,1298,1075
129,WHITE,2758,1814,1508
130,BLACK,881,619,502
131,HISPANIC ORIGIN,149,61,61
132,MASSACHUSETTS TOTAL,4560,3040,2569
133,MALE,2157,1390,1147
134,FEMALE,2403,1650,1422
135,WHITE,4187,2875,2438
136,BLACK,228,125,98
137,HISPANIC ORIGIN,161,48,36
138,MICHIGAN TOTAL,7018,5052,4080
139,MALE,3370,2355,1865
140,FEMALE,3649,2697,2215
141,WHITE,5992,4328,3483
142,BLACK,838,633,528
143,HISPANIC ORIGIN,165,87,65
144,MINNESOTA TOTAL,3375,2644,2259
145,MALE,1689,1263,1062
146,FEMALE,1686,1381,1197
147,WHITE,3202,2551,2181
148,BLACK,64,31,28
149,HISPANIC ORIGIN,82,12,10
150,MISSISSIPPI TOTAL,1942,1389,1069
151,MALE,905,637,495
152,FEMALE,1037,753,575
153,WHITE,1256,942,745
154,BLACK,660,445,322
155,HISPANIC ORIGIN,10,3,3
156,MISSOURI TOTAL,3925,2964,2397
157,MALE,1856,1346,1094
158,FEMALE,2070,1619,1303
159,WHITE,3546,2730,2204
160,BLACK,361,224,182
161,HISPANIC ORIGIN,75,30,26
162,MONTANA TOTAL,649,487,437
163,MALE,326,236,209
164,FEMALE,322,251,228
165,WHITE,607,461,413
166,BLACK,3,2,2
167,HISPANIC ORIGIN,9,5,3
168,NEBRASKA TOTAL,1181,875,720
169,MALE,559,410,337
170,FEMALE,622,464,383
171,WHITE,1118,848,700
172,BLACK,32,19,14
173,HISPANIC ORIGIN,34,8,6
174,NEVADA TOTAL,1176,694,562
175,MALE,587,316,248
176,FEMALE,589,378,314
177,WHITE,1083,638,526
178,BLACK,56,35,24
179,HISPANIC ORIGIN,162,31,22
180,NEW HAMPSHIRE TOTAL,862,618,518
181,MALE,405,289,249
182,FEMALE,457,329,269
183,WHITE,849,611,512
184,BLACK,7,3,3
185,HISPANIC ORIGIN,4,3,3
186,NEW JERSEY TOTAL,5944,3765,3251
187,MALE,2865,1784,1556
188,FEMALE,3079,1981,1696
189,WHITE,4876,3216,2783
190,BLACK,766,480,412
191,HISPANIC ORIGIN,670,284,248
192,NEW MEXICO TOTAL,1213,749,627
193,MALE,590,349,286
194,FEMALE,623,400,341
195,WHITE,1088,682,580
196,BLACK,14,11,10
197,HISPANIC ORIGIN,476,252,206
198,NEW YORK TOTAL,13408,8176,6830
199,MALE,6191,3644,3058
200,FEMALE,7218,4533,3772
201,WHITE,10474,6816,5768
202,BLACK,2218,1164,940
203,HISPANIC ORIGIN,1794,679,513
