,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994
0,UNITED STATES,190267,118994,85702
1,MALE,91006,55737,40716
2,FEMALE,99260,63257,44986
3,WHITE,160317,103614,75769
4,BLACK,21799,12762,8095
5,HISPANIC ORIGIN,17476,5473,3522
6,ALABAMA TOTAL,3136,2212,1436
7,MALE,1427,1025,676
8,FEMALE,1708,1187,759
9,WHITE,2256,1654,1106
10,BLACK,839,557,328
11,HISPANIC ORIGIN,38,8,6
12,ALASKA TOTAL,393,283,233
13,MALE,191,136,111
14,FEMALE,202,147,122
15,WHITE,317,236,198
16,BLACK,15,7,4
17,HISPANIC ORIGIN,11,5,4
18,ARIZONA TOTAL,2971,1683,1245
19,MALE,1443,805,586
20,FEMALE,1528,878,659
21,WHITE,2730,1597,1190
22,BLACK,74,35,29
23,HISPANIC ORIGIN,560,175,122
24,ARKANSAS TOTAL,1801,1081,750
25,MALE,862,488,354
26,FEMALE,939,593,397
27,WHITE,1499,914,645
28,BLACK,275,154,95
29,HISPANIC ORIGIN,26,5,5
30,CALIFORNIA TOTAL,22639,12544,10417
31,MALE,10969,5876,4895
32,FEMALE,11670,6668,5522
33,WHITE,18799,10978,9223
34,BLACK,1237,742,540
35,HISPANIC ORIGIN,5736,1427,1183
36,COLORADO TOTAL,2703,1743,1256
37,MALE,1360,839,646
38,FEMALE,1343,904,610
39,WHITE,2417,1612,1172
40,BLACK,143,78,52
41,HISPANIC ORIGIN,259,94,45
42,CONNECTICUT TOTAL,2431,1679,1263
43,MALE,1144,753,597
44,FEMALE,1287,925,665
45,WHITE,2219,1572,1191
46,BLACK,167,94,59
47,HISPANIC ORIGIN,162,78,44
48,DELAWARE TOTAL,528,311,218
49,MALE,251,148,104
50,FEMALE,276,163,114
51,WHITE,422,257,189
52,BLACK,91,46,24
53,HISPANIC ORIGIN,16,4,3
54,DISTRICT OF COLUMBIA TOTAL,440,298,247
55,MALE,204,131,106
56,FEMALE,236,167,141
57,WHITE,159,101,85
58,BLACK,266,194,160
59,HISPANIC ORIGIN,33,8,5
60,FLORIDA TOTAL,10582,6002,4601
61,MALE,4961,2759,2168
62,FEMALE,5621,3243,2432
63,WHITE,8997,5298,4160
64,BLACK,1327,633,398
65,HISPANIC ORIGIN,1690,463,340
66,GEORGIA TOTAL,5105,2819,1822
67,MALE,2416,1264,824
68,FEMALE,2689,1555,998
69,WHITE,3664,2031,1402
70,BLACK,1345,775,415
71,HISPANIC ORIGIN,105,20,19
72,HAWAII TOTAL,833,438,391
73,MALE,383,202,185
74,FEMALE,450,237,206
75,WHITE,301,175,156
76,BLACK,7,3,1
77,HISPANIC ORIGIN,14,5,3
78,IDAHO TOTAL,798,504,405
79,MALE,396,245,198
80,FEMALE,402,259,207
81,WHITE,779,495,399
82,BLACK,4,1,0
83,HISPANIC ORIGIN,32,10,8
84,ILLINOIS TOTAL,8561,5434,3685
85,MALE,4076,2514,1747
86,FEMALE,4485,2921,1938
87,WHITE,6916,4473,3068
88,BLACK,1267,900,581
89,HISPANIC ORIGIN,685,186,125
90,INDIANA TOTAL,4191,2329,1620
91,MALE,2060,1118,781
92,FEMALE,2131,1211,839
93,WHITE,3828,2198,1532
94,BLACK,306,112,76
95,HISPANIC ORIGIN,65,25,10
96,IOWA TOTAL,2059,1475,1080
97,MALE,1015,693,502
98,FEMALE,1044,783,579
99,WHITE,1965,1441,1061
100,BLACK,41,23,15
101,HISPANIC ORIGIN,17,13,7
102,KANSAS TOTAL,1798,1180,912
103,MALE,870,556,447
104,FEMALE,929,624,465
105,WHITE,1644,1119,879
106,BLACK,103,44,25
107,HISPANIC ORIGIN,46,27,19
108,KENTUCKY TOTAL,2807,1756,972
109,MALE,1328,841,515
110,FEMALE,1478,916,457
111,WHITE,2596,1648,916
112,BLACK,174,91,43
113,HISPANIC ORIGIN,16,9,6
114,LOUISIANA TOTAL,3013,2126,1031
115,MALE,1433,1002,481
116,FEMALE,1580,1124,551
117,WHITE,2091,1521,745
118,BLACK,908,597,281
119,HISPANIC ORIGIN,61,32,15
120,MAINE TOTAL,909,743,530
121,MALE,435,354,258
122,FEMALE,474,389,271
123,WHITE,895,737,527
124,BLACK,1,0,0
125,HISPANIC ORIGIN,4,2,1
126,MARYLAND TOTAL,3726,2369,1749
127,MALE,1715,1063,811
128,FEMALE,2011,1305,938
129,WHITE,2659,1720,1324
130,BLACK,948,613,405
131,HISPANIC ORIGIN,71,16,12
132,MASSACHUSETTS TOTAL,4532,2993,2351
133,MALE,2135,1374,1091
134,FEMALE,2397,1619,1260
135,WHITE,4179,2842,2235
136,BLACK,214,120,94
137,HISPANIC ORIGIN,128,28,16
138,MICHIGAN TOTAL,6921,5112,3623
139,MALE,3317,2393,1699
140,FEMALE,3605,2719,1924
141,WHITE,5801,4358,3077
142,BLACK,971,702,514
143,HISPANIC ORIGIN,110,58,38
144,MINNESOTA TOTAL,3296,2677,1929
145,MALE,1591,1294,925
146,FEMALE,1705,1383,1003
147,WHITE,3154,2583,1884
148,BLACK,99,62,26
149,HISPANIC ORIGIN,42,16,5
150,MISSISSIPPI TOTAL,1863,1353,826
151,MALE,860,617,404
152,FEMALE,1003,736,422
153,WHITE,1114,831,514
154,BLACK,738,516,308
155,HISPANIC ORIGIN,6,2,2
156,MISSOURI TOTAL,3797,2748,2073
157,MALE,1864,1343,999
158,FEMALE,1933,1405,1074
159,WHITE,3353,2500,1895
160,BLACK,394,233,162
161,HISPANIC ORIGIN,41,15,0
162,MONTANA TOTAL,619,453,376
163,MALE,303,216,176
164,FEMALE,315,237,200
165,WHITE,591,444,368
166,BLACK,1,0,0
167,HISPANIC ORIGIN,8,5,5
168,NEBRASKA TOTAL,1156,841,629
169,MALE,560,396,301
170,FEMALE,596,445,329
171,WHITE,1089,801,612
172,BLACK,47,33,13
173,HISPANIC ORIGIN,20,5,1
174,NEVADA TOTAL,1081,538,437
175,MALE,539,272,220
176,FEMALE,542,266,218
177,WHITE,944,480,395
178,BLACK,80,37,29
179,HISPANIC ORIGIN,137,27,23
