,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998
0,UNITED STATES TOTAL,198228,123104,83098
1,MALE,95187,57659,39391
2,FEMALE,103042,65445,43706
3,HISPANIC ORIGIN,20321,6843,4068
4,WHITE,165821,105985,71871
5,BLACK,23305,14031,9223
6,ALABAMA TOTAL,3252,2398,1665
7,MALE,1559,1127,796
8,FEMALE,1693,1272,869
9,HISPANIC ORIGIN,26,11,8
10,WHITE,2379,1763,1228
11,BLACK,835,621,431
12,ALASKA TOTAL,413,299,222
13,MALE,208,148,109
14,FEMALE,204,151,114
15,HISPANIC ORIGIN,12,6,5
16,WHITE,335,247,186
17,BLACK,11,6,3
18,ARIZONA TOTAL,3362,1719,1135
19,MALE,1581,779,529
20,FEMALE,1780,940,606
21,HISPANIC ORIGIN,818,206,120
22,WHITE,3090,1622,1073
23,BLACK,121,41,32
24,ARKANSAS TOTAL,1855,1172,786
25,MALE,886,529,364
26,FEMALE,969,642,422
27,HISPANIC ORIGIN,16,3,1
28,WHITE,1523,1003,685
29,BLACK,318,165,99
30,CALIFORNIA TOTAL,23696,12356,9593
31,MALE,11649,5924,4594
32,FEMALE,12047,6431,4999
33,HISPANIC ORIGIN,6264,1749,1338
34,WHITE,19121,10383,8225
35,BLACK,1579,962,669
36,COLORADO TOTAL,2954,2024,1540
37,MALE,1465,971,742
38,FEMALE,1489,1053,798
39,HISPANIC ORIGIN,366,173,104
40,WHITE,2722,1922,1471
41,BLACK,107,46,30
42,CONNECTICUT TOTAL,2438,1625,1106
43,MALE,1176,764,552
44,FEMALE,1262,861,554
45,HISPANIC ORIGIN,229,103,49
46,WHITE,2194,1503,1034
47,BLACK,208,112,62
48,DELAWARE TOTAL,555,339,203
49,MALE,274,160,99
50,FEMALE,281,179,104
51,HISPANIC ORIGIN,13,4,3
52,WHITE,435,278,171
53,BLACK,108,55,28
54,DISTRICT OF COLUMBIA TOTAL,392,256,178
55,MALE,173,107,73
56,FEMALE,220,148,106
57,HISPANIC ORIGIN,17,6,4
58,WHITE,132,78,54
59,BLACK,248,175,123
