,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004
0,UNITED STATES TOTAL,215694,142070,125736
1,MALE,103812,66406,58455
2,FEMALE,111882,75663,67281
3,WHITE,176618,119929,106588
4,BLACK,24910,16035,14016
5,HISPANIC ORIGIN,27129,9308,7587
6,ALABAMA TOTAL,3332,2418,2060
7,MALE,1568,1109,935
8,FEMALE,1764,1309,1125
9,WHITE,2450,1808,1523
10,BLACK,799,583,511
11,HISPANIC ORIGIN,39,2,2
12,ALASKA TOTAL,451,334,293
13,MALE,224,168,146
14,FEMALE,227,167,148
15,WHITE,359,278,249
16,BLACK,13,9,8
17,HISPANIC ORIGIN,22,13,10
18,ARIZONA TOTAL,4122,2485,2239
19,MALE,2008,1166,1034
20,FEMALE,2114,1319,1205
21,WHITE,3747,2305,2094
22,BLACK,142,81,66
23,HISPANIC ORIGIN,1160,354,296
24,ARKANSAS TOTAL,2010,1328,1140
25,MALE,962,606,524
26,FEMALE,1048,723,617
27,WHITE,1649,1106,966
28,BLACK,295,188,145
29,HISPANIC ORIGIN,73,10,7
30,CALIFORNIA TOTAL,26085,14193,12807
31,MALE,12783,6695,6022
32,FEMALE,13302,7498,6785
33,WHITE,20083,11286,10273
34,BLACK,1678,1141,1035
35,HISPANIC ORIGIN,8127,2455,2081
36,COLORADO TOTAL,3398,2307,2097
37,MALE,1691,1134,1016
38,FEMALE,1708,1173,1081
39,WHITE,3098,2162,1972
40,BLACK,123,67,56
41,HISPANIC ORIGIN,574,204,165
42,CONNECTICUT TOTAL,2606,1695,1524
43,MALE,1246,775,704
44,FEMALE,1359,919,820
45,WHITE,2278,1519,1369
46,BLACK,233,135,117
47,HISPANIC ORIGIN,170,64,56
48,DELAWARE TOTAL,612,415,385
49,MALE,292,189,174
50,FEMALE,320,225,211
51,WHITE,485,344,322
52,BLACK,108,63,57
53,HISPANIC ORIGIN,44,13,12
54,DISTRICT OF COLUMBIA TOTAL,435,293,270
55,MALE,199,130,118
56,FEMALE,236,164,152
57,WHITE,179,122,116
58,BLACK,240,163,146
59,HISPANIC ORIGIN,38,10,9
60,FLORIDA TOTAL,13133,8219,7372
61,MALE,6266,3784,3375
62,FEMALE,6867,4434,3997
63,WHITE,10871,7030,6349
64,BLACK,1832,965,815
65,HISPANIC ORIGIN,2422,924,824
66,GEORGIA TOTAL,6338,3948,3332
67,MALE,3070,1791,1503
68,FEMALE,3268,2157,1829
69,WHITE,4390,2788,2351
70,BLACK,1688,1083,919
71,HISPANIC ORIGIN,376,36,26
72,HAWAII TOTAL,938,497,433
73,MALE,448,228,196
74,FEMALE,490,269,237
75,WHITE,208,148,130
76,BLACK,17,7,6
77,HISPANIC ORIGIN,55,23,19
78,IDAHO TOTAL,996,663,585
79,MALE,487,317,273
80,FEMALE,509,345,311
81,WHITE,942,644,571
82,BLACK,5,,
83,HISPANIC ORIGIN,89,19,14
84,ILLINOIS TOTAL,9303,6437,5672
85,MALE,4469,3049,2640
86,FEMALE,4835,3388,3032
87,WHITE,7648,5376,4708
88,BLACK,1277,919,855
89,HISPANIC ORIGIN,1031,343,294
90,INDIANA TOTAL,4536,3031,2598
91,MALE,2182,1473,1247
92,FEMALE,2354,1558,1351
93,WHITE,4088,2755,2364
94,BLACK,368,229,198
95,HISPANIC ORIGIN,182,57,41
96,IOWA TOTAL,2212,1674,1522
97,MALE,1073,788,708
98,FEMALE,1139,886,814
99,WHITE,2120,1620,1473
100,BLACK,37,24,23
101,HISPANIC ORIGIN,69,13,12
102,KANSAS TOTAL,1990,1338,1188
103,MALE,970,633,554
104,FEMALE,1019,704,633
105,WHITE,1768,1224,1101
106,BLACK,99,64,53
107,HISPANIC ORIGIN,132,30,28
108,KENTUCKY TOTAL,3042,2231,1930
109,MALE,1454,1039,884
110,FEMALE,1588,1192,1046
111,WHITE,2775,2041,1765
112,BLACK,204,158,140
113,HISPANIC ORIGIN,44,18,16
114,LOUISIANA TOTAL,3277,2413,2067
115,MALE,1528,1132,963
116,FEMALE,1749,1281,1104
117,WHITE,2260,1697,1446
118,BLACK,976,693,606
119,HISPANIC ORIGIN,68,19,16
120,MAINE TOTAL,1022,824,736
121,MALE,493,390,346
122,FEMALE,529,434,390
123,WHITE,990,799,714
124,BLACK,8,6,5
125,HISPANIC ORIGIN,9,7,7
126,MARYLAND TOTAL,4043,2676,2413
127,MALE,1906,1221,1112
128,FEMALE,2137,1454,1301
129,WHITE,2737,1913,1733
130,BLACK,1070,668,598
131,HISPANIC ORIGIN,282,58,53
132,MASSACHUSETTS TOTAL,4840,3483,3085
133,MALE,2299,1641,1429
134,FEMALE,2541,1842,1656
135,WHITE,4297,3234,2880
136,BLACK,292,148,127
137,HISPANIC ORIGIN,323,140,106
138,MICHIGAN TOTAL,7452,5364,4818
139,MALE,3604,2519,2261
140,FEMALE,3848,2845,2558
141,WHITE,6163,4526,4083
142,BLACK,957,676,599
143,HISPANIC ORIGIN,201,73,71
144,MINNESOTA TOTAL,3766,3080,2887
145,MALE,1858,1471,1374
146,FEMALE,1908,1608,1513
147,WHITE,3435,2884,2703
148,BLACK,128,83,83
149,HISPANIC ORIGIN,108,53,49
150,MISSISSIPPI TOTAL,2081,1510,1263
151,MALE,972,677,538
152,FEMALE,1109,833,725
153,WHITE,1335,965,786
154,BLACK,698,531,466
155,HISPANIC ORIGIN,46,16,12
156,MISSOURI TOTAL,4243,3336,2815
157,MALE,2023,1540,1299
158,FEMALE,2219,1796,1516
159,WHITE,3636,2865,2424
160,BLACK,433,382,324
161,HISPANIC ORIGIN,115,50,35
162,MONTANA TOTAL,690,519,482
163,MALE,339,252,231
164,FEMALE,352,266,252
165,WHITE,647,493,461
166,BLACK,,,
167,HISPANIC ORIGIN,12,6,5
168,NEBRASKA TOTAL,1294,918,793
169,MALE,628,431,367
170,FEMALE,667,487,426
171,WHITE,1181,865,755
172,BLACK,51,31,21
173,HISPANIC ORIGIN,119,27,19
174,NEVADA TOTAL,1699,965,871
175,MALE,856,471,421
176,FEMALE,842,494,450
177,WHITE,1445,844,763
178,BLACK,113,61,56
179,HISPANIC ORIGIN,301,83,72
180,NEW HAMPSHIRE TOTAL,982,716,677
181,MALE,479,341,320
182,FEMALE,503,375,358
183,WHITE,943,699,663
184,BLACK,6,2,1
185,HISPANIC ORIGIN,11,5,5
186,NEW JERSEY TOTAL,6413,4085,3693
187,MALE,3052,1852,1676
188,FEMALE,3361,2233,2017
189,WHITE,5174,3410,3086
190,BLACK,845,523,462
191,HISPANIC ORIGIN,906,331,277
192,NEW MEXICO TOTAL,1375,936,837
193,MALE,658,436,392
194,FEMALE,717,501,445
195,WHITE,1151,792,715
196,BLACK,34,23,23
197,HISPANIC ORIGIN,544,316,276
198,NEW YORK TOTAL,14492,8624,7698
199,MALE,6865,3965,3561
200,FEMALE,7627,4659,4137
201,WHITE,11055,7090,6366
202,BLACK,2354,1188,1042
203,HISPANIC ORIGIN,1976,754,613
204,NORTH CAROLINA TOTAL,6250,4292,3639
205,MALE,2979,1958,1626
206,FEMALE,3271,2334,2013
207,WHITE,4709,3268,2736
208,BLACK,1241,874,784
209,HISPANIC ORIGIN,327,44,27
210,NORTH DAKOTA TOTAL,466,412,330
211,MALE,228,199,158
212,FEMALE,238,213,172
213,WHITE,443,393,318
214,BLACK,3,2,1
215,HISPANIC ORIGIN,6,4,2
216,OHIO TOTAL,8469,6003,5485
217,MALE,4037,2813,2581
218,FEMALE,4432,3190,2905
219,WHITE,7381,5268,4802
220,BLACK,895,630,586
221,HISPANIC ORIGIN,209,100,90
222,OKLAHOMA TOTAL,2602,1781,1541
223,MALE,1247,844,724
224,FEMALE,1355,937,818
225,WHITE,2031,1450,1271
226,BLACK,190,118,104
227,HISPANIC ORIGIN,135,29,25
228,OREGON TOTAL,2727,2049,1924
229,MALE,1340,972,911
230,FEMALE,1387,1078,1013
231,WHITE,2498,1941,1824
232,BLACK,48,21,21
233,HISPANIC ORIGIN,165,41,36
234,PENNSYLVANIA TOTAL,9356,6481,5845
235,MALE,4467,3052,2740
236,FEMALE,4889,3429,3105
237,WHITE,8218,5853,5291
238,BLACK,853,523,474
239,HISPANIC ORIGIN,255,95,88
240,RHODE ISLAND TOTAL,813,522,467
241,MALE,385,236,213
242,FEMALE,428,286,253
243,WHITE,732,494,442
244,BLACK,46,19,17
245,HISPANIC ORIGIN,58,17,13
